Vital Measurement,Node 1,Node 2,Node 3,Node 4,Node 5,Diagnostic Triage,Actions
Pupil Response,Moderate,Acute,Maintenance,Standard,Follow up,Monitor,Continue monitoring - Watch for changes
AVPU Score,Moderate,Stable,Normal,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
AVPU Score,Normal,Progressive,Regular,Normal,Standard protocol,Routine,Standard care - Follow routine protocol
Capillary Refill,High,Progressive,Urgent,Rescue,Crash Cart,Immediate,Red flag - Immediate intervention required
AVPU Score,Normal,Acute,Baseline,Maintenance,Standard protocol,Routine,Standard care - Follow routine protocol
AVPU Score,Moderate,Chronic,Baseline,Standard,Maintenance,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Critical,Stable,Baseline,Normal,Rapid Response,Immediate,Red flag - Immediate intervention required
Motor Function,Moderate,Unstable,Maintenance,Normal,Follow up,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Low,Chronic,Monitor,Assess,Standard protocol,Monitor,Continue monitoring - Watch for changes
AVPU Score,High,Stable,Emergency,Standard,Standard protocol,Immediate,Red flag - Immediate intervention required
Blood Pressure,High,Hypotension,Immediate,Urgent,Rapid Response,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Critical,Chronic,Baseline,Standard,Emergency Response,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Critical,Progressive,Regular,Standard,Call 911,Immediate,Red flag - Immediate intervention required
Blood Glucose,Critical,Chronic,Standard,Routine,Call 911,Immediate,Red flag - Immediate intervention required
Capillary Refill,High,Progressive,Critical,Normal,Call 911,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Low,Progressive,Follow-up,Normal,Standard protocol,Monitor,Continue monitoring - Watch for changes
Mental Status,Low,Unstable,Observe,Standard,Follow protocol,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Moderate,Chronic,Normal,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
Sensory Function,Low,Stable,Monitor,Assess,Follow up,Monitor,Continue monitoring - Watch for changes
Pain Level,Low,Chronic,Follow-up,Maintenance,Prevention,Monitor,Continue monitoring - Watch for changes
AVPU Score,Low,Chronic,Observe,Maintenance,Monitor closely,Monitor,Continue monitoring - Watch for changes
AVPU Score,Normal,Unstable,Maintenance,Regular,Follow up,Routine,Standard care - Follow routine protocol
Skin Color,Normal,Unstable,Normal,Maintenance,Maintenance,Routine,Standard care - Follow routine protocol
Motor Function,Moderate,Acute,Normal,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Motor Function,Low,Acute,Routine,Regular,Maintenance,Monitor,Continue monitoring - Watch for changes
Sensory Function,Critical,Unstable,Regular,Regular,Rapid Response,Immediate,Red flag - Immediate intervention required
Capillary Refill,Low,Stable,Routine,Routine,Prevention,Monitor,Continue monitoring - Watch for changes
AVPU Score,Moderate,Progressive,Maintenance,Standard,Routine care,Monitor,Continue monitoring - Watch for changes
Heart Rate,Low,Bradycardia,Monitor,Observe,Document,Monitor,Continue monitoring - Watch for changes
Pupil Response,High,Unstable,Emergency,Regular,Follow up,Immediate,Red flag - Immediate intervention required
Pupil Response,Normal,Stable,Regular,Maintenance,Standard protocol,Routine,Standard care - Follow routine protocol
Mental Status,Moderate,Acute,Maintenance,Regular,Standard protocol,Monitor,Continue monitoring - Watch for changes
Heart Rate,Normal,Tachycardia,Regular,Standard,Follow up,Routine,Standard care - Follow routine protocol
Glasgow Coma Scale,High,Unstable,Emergency,Standard,Prevention,Immediate,Red flag - Immediate intervention required
Heart Rate,Moderate,Bradycardia,Regular,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Sensory Function,Low,Stable,Routine,Regular,Maintenance,Monitor,Continue monitoring - Watch for changes
Mental Status,Moderate,Progressive,Regular,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
Heart Rate,Moderate,Irregular,Normal,Normal,Prevention,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Normal,Unstable,Standard,Routine,Follow up,Routine,Standard care - Follow routine protocol
Heart Rate,Normal,Normal,Standard,Normal,Standard protocol,Routine,Standard care - Follow routine protocol
Mental Status,High,Progressive,Resuscitation,Standard,Prevention,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Moderate,Acute,Regular,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,High,Progressive,Critical,Routine,Rapid Response,Immediate,Red flag - Immediate intervention required
Heart Rate,Critical,Irregular,Normal,Maintenance,Emergency Response,Immediate,Red flag - Immediate intervention required
AVPU Score,Moderate,Acute,Baseline,Normal,Prevention,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Moderate,Chronic,Baseline,Maintenance,Maintenance,Monitor,Continue monitoring - Watch for changes
Sensory Function,Critical,Chronic,Regular,Standard,Rapid Response,Immediate,Red flag - Immediate intervention required
AVPU Score,Moderate,Progressive,Baseline,Regular,Standard protocol,Monitor,Continue monitoring - Watch for changes
Motor Function,Critical,Chronic,Maintenance,Regular,Call 911,Immediate,Red flag - Immediate intervention required
Pain Level,High,Progressive,Immediate,Critical,Emergency Response,Immediate,Red flag - Immediate intervention required
Blood Glucose,Critical,Unstable,Normal,Standard,Rapid Response,Immediate,Red flag - Immediate intervention required
Blood Pressure,Normal,Pre-hypertension,Regular,Regular,Standard protocol,Routine,Standard care - Follow routine protocol
Capillary Refill,Normal,Progressive,Baseline,Standard,Follow up,Routine,Standard care - Follow routine protocol
AVPU Score,Normal,Unstable,Standard,Standard,Routine care,Routine,Standard care - Follow routine protocol
Pupil Response,Critical,Stable,Regular,Standard,Emergency Response,Immediate,Red flag - Immediate intervention required
Temperature,High,Hypothermia,Urgent,Rescue,Call 911,Immediate,Red flag - Immediate intervention required
Blood Pressure,Normal,Normal,Maintenance,Standard,Standard protocol,Routine,Standard care - Follow routine protocol
Respiratory Rate,Critical,Acute,Standard,Standard,Code Blue,Immediate,Red flag - Immediate intervention required
Temperature,Critical,Normal,Maintenance,Normal,Call 911,Immediate,Red flag - Immediate intervention required
Motor Function,Low,Stable,Observe,Standard,Monitor closely,Monitor,Continue monitoring - Watch for changes
Pupil Response,Critical,Stable,Normal,Normal,Crash Cart,Immediate,Red flag - Immediate intervention required
Motor Function,Critical,Unstable,Regular,Regular,Code Blue,Immediate,Red flag - Immediate intervention required
Skin Color,High,Unstable,Urgent,Urgent,Code Blue,Immediate,Red flag - Immediate intervention required
Sensory Function,Critical,Unstable,Maintenance,Normal,Crash Cart,Immediate,Red flag - Immediate intervention required
Pupil Response,Low,Stable,Monitor,Assess,Standard protocol,Monitor,Continue monitoring - Watch for changes
Motor Function,Normal,Progressive,Normal,Maintenance,Maintenance,Routine,Standard care - Follow routine protocol
Pain Level,High,Unstable,Immediate,Stabilize,Follow up,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Normal,Acute,Regular,Routine,Follow up,Routine,Standard care - Follow routine protocol
Skin Color,High,Unstable,Urgent,Urgent,Rapid Response,Immediate,Red flag - Immediate intervention required
Heart Rate,Normal,Bradycardia,Baseline,Normal,Routine care,Routine,Standard care - Follow routine protocol
Pain Level,Moderate,Progressive,Baseline,Normal,Follow up,Monitor,Continue monitoring - Watch for changes
Temperature,High,Hyperthermia,Urgent,Urgent,Emergency Response,Immediate,Red flag - Immediate intervention required
Pupil Response,Critical,Chronic,Normal,Regular,Call 911,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Moderate,Unstable,Baseline,Regular,Maintenance,Monitor,Continue monitoring - Watch for changes
Pain Level,Critical,Unstable,Standard,Regular,Emergency Response,Immediate,Red flag - Immediate intervention required
Heart Rate,High,Tachycardia,Resuscitation,Maintenance,Routine care,Immediate,Red flag - Immediate intervention required
Blood Glucose,Moderate,Acute,Regular,Standard,Follow up,Monitor,Continue monitoring - Watch for changes
Mental Status,Moderate,Stable,Maintenance,Routine,Prevention,Monitor,Continue monitoring - Watch for changes
Blood Glucose,High,Acute,Critical,Normal,Rapid Response,Immediate,Red flag - Immediate intervention required
Temperature,High,Subnormal,Critical,Regular,Code Blue,Immediate,Red flag - Immediate intervention required
Sensory Function,Moderate,Chronic,Normal,Routine,Maintenance,Monitor,Continue monitoring - Watch for changes
AVPU Score,Moderate,Stable,Normal,Regular,Follow up,Monitor,Continue monitoring - Watch for changes
Motor Function,Normal,Progressive,Baseline,Maintenance,Standard protocol,Routine,Standard care - Follow routine protocol
Oxygen Saturation,High,Unstable,Immediate,Emergency,Follow up,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Low,Stable,Monitor,Assess,Follow up,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Critical,Chronic,Regular,Routine,Rapid Response,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Critical,Acute,Regular,Standard,Crash Cart,Immediate,Red flag - Immediate intervention required
AVPU Score,Normal,Unstable,Normal,Maintenance,Maintenance,Routine,Standard care - Follow routine protocol
Blood Pressure,High,Hypotension,Resuscitation,Maintenance,Standard protocol,Immediate,Red flag - Immediate intervention required
Heart Rate,Critical,Tachycardia,Maintenance,Maintenance,Call 911,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Critical,Progressive,Standard,Regular,Emergency Response,Immediate,Red flag - Immediate intervention required
Skin Color,Low,Acute,Routine,Regular,Follow up,Monitor,Continue monitoring - Watch for changes
Mental Status,High,Acute,Emergency,Regular,Standard protocol,Immediate,Red flag - Immediate intervention required
AVPU Score,Low,Acute,Routine,Maintenance,Prevention,Monitor,Continue monitoring - Watch for changes
Pain Level,Moderate,Progressive,Maintenance,Routine,Follow up,Monitor,Continue monitoring - Watch for changes
AVPU Score,Moderate,Unstable,Normal,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Sensory Function,Moderate,Stable,Regular,Standard,Routine care,Monitor,Continue monitoring - Watch for changes
Capillary Refill,High,Progressive,Immediate,Emergency,Standard protocol,Immediate,Red flag - Immediate intervention required
Pain Level,Critical,Unstable,Normal,Maintenance,Rapid Response,Immediate,Red flag - Immediate intervention required
Motor Function,High,Unstable,Immediate,Critical,Crash Cart,Immediate,Red flag - Immediate intervention required
Motor Function,Normal,Unstable,Baseline,Maintenance,Follow up,Routine,Standard care - Follow routine protocol
Heart Rate,Normal,Bradycardia,Maintenance,Routine,Prevention,Routine,Standard care - Follow routine protocol
Blood Pressure,Moderate,Normal,Regular,Maintenance,Routine care,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Moderate,Chronic,Regular,Maintenance,Routine care,Monitor,Continue monitoring - Watch for changes
Pain Level,Low,Acute,Follow-up,Standard,Follow up,Monitor,Continue monitoring - Watch for changes
Pupil Response,Low,Chronic,Monitor,Observe,Follow protocol,Monitor,Continue monitoring - Watch for changes
Temperature,Low,Hypothermia,Routine,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Sensory Function,Normal,Acute,Maintenance,Standard,Standard protocol,Routine,Standard care - Follow routine protocol
Mental Status,Normal,Chronic,Normal,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Respiratory Rate,High,Stable,Emergency,Routine,Maintenance,Immediate,Red flag - Immediate intervention required
Heart Rate,Critical,Bradycardia,Regular,Standard,Emergency Response,Immediate,Red flag - Immediate intervention required
Heart Rate,Moderate,Irregular,Standard,Normal,Standard protocol,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Normal,Chronic,Normal,Standard,Prevention,Routine,Standard care - Follow routine protocol
Respiratory Rate,Low,Stable,Observe,Normal,Follow protocol,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Critical,Progressive,Normal,Maintenance,Code Blue,Immediate,Red flag - Immediate intervention required
Temperature,Critical,Hyperthermia,Normal,Standard,Crash Cart,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Critical,Acute,Regular,Regular,Emergency Response,Immediate,Red flag - Immediate intervention required
Skin Color,Normal,Progressive,Maintenance,Regular,Maintenance,Routine,Standard care - Follow routine protocol
Heart Rate,High,Normal,Immediate,Urgent,Emergency Response,Immediate,Red flag - Immediate intervention required
Temperature,High,Normal,Immediate,Rescue,Routine care,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Moderate,Unstable,Baseline,Standard,Follow up,Monitor,Continue monitoring - Watch for changes
Motor Function,Moderate,Unstable,Maintenance,Regular,Standard protocol,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Low,Stable,Routine,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Sensory Function,Moderate,Unstable,Standard,Maintenance,Maintenance,Monitor,Continue monitoring - Watch for changes
Heart Rate,Normal,Irregular,Baseline,Standard,Follow up,Routine,Standard care - Follow routine protocol
Blood Pressure,High,Pre-hypertension,Resuscitation,Routine,Follow up,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Normal,Progressive,Standard,Standard,Follow up,Routine,Standard care - Follow routine protocol
Temperature,Normal,Hyperthermia,Maintenance,Regular,Prevention,Routine,Standard care - Follow routine protocol
Sensory Function,Critical,Progressive,Standard,Regular,Code Blue,Immediate,Red flag - Immediate intervention required
AVPU Score,Moderate,Chronic,Baseline,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Pain Level,Normal,Acute,Normal,Maintenance,Standard protocol,Routine,Standard care - Follow routine protocol
AVPU Score,Low,Acute,Follow-up,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
Sensory Function,Normal,Acute,Baseline,Regular,Routine care,Routine,Standard care - Follow routine protocol
Respiratory Rate,Normal,Acute,Regular,Standard,Routine care,Routine,Standard care - Follow routine protocol
Mental Status,Normal,Progressive,Standard,Regular,Prevention,Routine,Standard care - Follow routine protocol
Pupil Response,Critical,Chronic,Standard,Maintenance,Crash Cart,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Critical,Stable,Normal,Normal,Crash Cart,Immediate,Red flag - Immediate intervention required
Capillary Refill,Critical,Progressive,Standard,Maintenance,Rapid Response,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Critical,Stable,Maintenance,Maintenance,Crash Cart,Immediate,Red flag - Immediate intervention required
Blood Glucose,Critical,Chronic,Baseline,Standard,Rapid Response,Immediate,Red flag - Immediate intervention required
Temperature,Low,Fever,Routine,Regular,Follow up,Monitor,Continue monitoring - Watch for changes
Pupil Response,High,Unstable,Immediate,Emergency,Follow up,Immediate,Red flag - Immediate intervention required
Respiratory Rate,High,Chronic,Critical,Routine,Rapid Response,Immediate,Red flag - Immediate intervention required
Capillary Refill,Moderate,Progressive,Regular,Normal,Follow up,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Low,Hypotension,Monitor,Evaluate,Routine care,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Moderate,Progressive,Maintenance,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Pupil Response,Moderate,Chronic,Normal,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
AVPU Score,High,Acute,Urgent,Urgent,Crash Cart,Immediate,Red flag - Immediate intervention required
Mental Status,Moderate,Stable,Standard,Standard,Standard protocol,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Low,Unstable,Routine,Maintenance,Maintenance,Monitor,Continue monitoring - Watch for changes
Motor Function,Normal,Progressive,Standard,Maintenance,Prevention,Routine,Standard care - Follow routine protocol
Sensory Function,High,Chronic,Critical,Maintenance,Code Blue,Immediate,Red flag - Immediate intervention required
Temperature,Critical,Subnormal,Maintenance,Standard,Call 911,Immediate,Red flag - Immediate intervention required
Temperature,High,Hyperthermia,Emergency,Routine,Maintenance,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Low,Chronic,Observe,Standard,Check again,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Critical,Acute,Regular,Standard,Emergency Response,Immediate,Red flag - Immediate intervention required
Heart Rate,Moderate,Irregular,Normal,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Motor Function,Low,Chronic,Monitor,Assess,Routine care,Monitor,Continue monitoring - Watch for changes
Temperature,Moderate,Hypothermia,Baseline,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Heart Rate,Normal,Tachycardia,Regular,Maintenance,Routine care,Routine,Standard care - Follow routine protocol
Capillary Refill,Low,Chronic,Routine,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Temperature,Low,Hypothermia,Follow-up,Routine,Follow up,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Critical,Progressive,Baseline,Normal,Call 911,Immediate,Red flag - Immediate intervention required
Skin Color,Normal,Unstable,Normal,Normal,Standard protocol,Routine,Standard care - Follow routine protocol
AVPU Score,High,Chronic,Urgent,Emergency,Code Blue,Immediate,Red flag - Immediate intervention required
Blood Pressure,Normal,Hypotension,Maintenance,Standard,Prevention,Routine,Standard care - Follow routine protocol
Capillary Refill,Normal,Chronic,Regular,Regular,Follow up,Routine,Standard care - Follow routine protocol
Glasgow Coma Scale,Critical,Chronic,Baseline,Standard,Rapid Response,Immediate,Red flag - Immediate intervention required
Mental Status,High,Unstable,Immediate,Urgent,Emergency Response,Immediate,Red flag - Immediate intervention required
Heart Rate,Critical,Weak,Standard,Routine,Crash Cart,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,High,Stable,Resuscitation,Regular,Standard protocol,Immediate,Red flag - Immediate intervention required
Temperature,Low,Subnormal,Monitor,Watch,Monitor closely,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Low,Crisis,Follow-up,Normal,Routine care,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,High,Stable,Urgent,Emergency,Call 911,Immediate,Red flag - Immediate intervention required
Pain Level,High,Unstable,Urgent,Urgent,Crash Cart,Immediate,Red flag - Immediate intervention required
Motor Function,High,Acute,Emergency,Normal,Maintenance,Immediate,Red flag - Immediate intervention required
Capillary Refill,Moderate,Unstable,Maintenance,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,High,Progressive,Resuscitation,Standard,Prevention,Immediate,Red flag - Immediate intervention required
Skin Color,Critical,Progressive,Normal,Routine,Rapid Response,Immediate,Red flag - Immediate intervention required
Pupil Response,High,Acute,Immediate,Critical,Emergency Response,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Low,Unstable,Monitor,Observe,Follow protocol,Monitor,Continue monitoring - Watch for changes
Heart Rate,Low,Tachycardia,Routine,Standard,Maintenance,Monitor,Continue monitoring - Watch for changes
Blood Glucose,High,Acute,Immediate,Emergency,Routine care,Immediate,Red flag - Immediate intervention required
Sensory Function,Low,Acute,Routine,Maintenance,Maintenance,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Normal,Unstable,Regular,Maintenance,Maintenance,Routine,Standard care - Follow routine protocol
Heart Rate,Moderate,Weak,Baseline,Routine,Standard protocol,Monitor,Continue monitoring - Watch for changes
Pain Level,Normal,Unstable,Baseline,Maintenance,Follow up,Routine,Standard care - Follow routine protocol
Blood Glucose,Moderate,Stable,Normal,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Temperature,Normal,Hypothermia,Standard,Normal,Routine care,Routine,Standard care - Follow routine protocol
Blood Pressure,Low,Pre-hypertension,Follow-up,Normal,Maintenance,Monitor,Continue monitoring - Watch for changes
Blood Glucose,High,Chronic,Resuscitation,Regular,Routine care,Immediate,Red flag - Immediate intervention required
AVPU Score,Critical,Chronic,Regular,Regular,Code Blue,Immediate,Red flag - Immediate intervention required
Heart Rate,Critical,Weak,Regular,Standard,Call 911,Immediate,Red flag - Immediate intervention required
Heart Rate,Moderate,Tachycardia,Maintenance,Normal,Prevention,Monitor,Continue monitoring - Watch for changes
Mental Status,Normal,Chronic,Standard,Standard,Routine care,Routine,Standard care - Follow routine protocol
Mental Status,Critical,Chronic,Standard,Standard,Emergency Response,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Normal,Unstable,Standard,Regular,Maintenance,Routine,Standard care - Follow routine protocol
Glasgow Coma Scale,Normal,Unstable,Standard,Normal,Standard protocol,Routine,Standard care - Follow routine protocol
Respiratory Rate,Critical,Chronic,Normal,Regular,Code Blue,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Critical,Unstable,Regular,Maintenance,Code Blue,Immediate,Red flag - Immediate intervention required
Temperature,Low,Hypothermia,Observe,Regular,Reassess,Monitor,Continue monitoring - Watch for changes
Pupil Response,Low,Unstable,Observe,Maintenance,Monitor closely,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Moderate,Chronic,Standard,Maintenance,Maintenance,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Normal,Acute,Maintenance,Routine,Prevention,Routine,Standard care - Follow routine protocol
Glasgow Coma Scale,High,Progressive,Immediate,Critical,Rapid Response,Immediate,Red flag - Immediate intervention required
Pain Level,Low,Progressive,Watch,Observe,Document,Monitor,Continue monitoring - Watch for changes
AVPU Score,Moderate,Progressive,Standard,Regular,Maintenance,Monitor,Continue monitoring - Watch for changes
Temperature,Critical,Hyperthermia,Baseline,Routine,Crash Cart,Immediate,Red flag - Immediate intervention required
AVPU Score,Normal,Progressive,Baseline,Routine,Prevention,Routine,Standard care - Follow routine protocol
Mental Status,Normal,Stable,Regular,Regular,Prevention,Routine,Standard care - Follow routine protocol
Oxygen Saturation,High,Acute,Urgent,Critical,Crash Cart,Immediate,Red flag - Immediate intervention required
Temperature,Critical,Normal,Baseline,Standard,Rapid Response,Immediate,Red flag - Immediate intervention required
AVPU Score,Moderate,Progressive,Regular,Maintenance,Maintenance,Monitor,Continue monitoring - Watch for changes
Blood Pressure,High,Crisis,Immediate,Critical,Call 911,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Critical,Progressive,Standard,Normal,Rapid Response,Immediate,Red flag - Immediate intervention required
Skin Color,Normal,Stable,Normal,Routine,Follow up,Routine,Standard care - Follow routine protocol
Skin Color,Normal,Chronic,Regular,Normal,Maintenance,Routine,Standard care - Follow routine protocol
Sensory Function,Moderate,Chronic,Regular,Maintenance,Maintenance,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,High,Progressive,Urgent,Critical,Rapid Response,Immediate,Red flag - Immediate intervention required
AVPU Score,Critical,Stable,Standard,Maintenance,Crash Cart,Immediate,Red flag - Immediate intervention required
Blood Glucose,High,Unstable,Urgent,Emergency,Crash Cart,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Moderate,Stable,Standard,Maintenance,Maintenance,Monitor,Continue monitoring - Watch for changes
Temperature,High,Hyperthermia,Critical,Regular,Crash Cart,Immediate,Red flag - Immediate intervention required
Skin Color,Moderate,Progressive,Baseline,Maintenance,Prevention,Monitor,Continue monitoring - Watch for changes
Temperature,Normal,Hypothermia,Standard,Standard,Prevention,Routine,Standard care - Follow routine protocol
Capillary Refill,Critical,Stable,Maintenance,Standard,Call 911,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Normal,Stable,Standard,Regular,Maintenance,Routine,Standard care - Follow routine protocol
Skin Color,Low,Chronic,Monitor,Check,Maintenance,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Critical,Unstable,Maintenance,Normal,Call 911,Immediate,Red flag - Immediate intervention required
Motor Function,Normal,Acute,Standard,Normal,Follow up,Routine,Standard care - Follow routine protocol
Pupil Response,Normal,Progressive,Regular,Standard,Prevention,Routine,Standard care - Follow routine protocol
Mental Status,Low,Acute,Watch,Check,Document,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Moderate,Stable,Regular,Normal,Follow up,Monitor,Continue monitoring - Watch for changes
Temperature,Normal,Fever,Maintenance,Maintenance,Standard protocol,Routine,Standard care - Follow routine protocol
Glasgow Coma Scale,Moderate,Chronic,Standard,Routine,Maintenance,Monitor,Continue monitoring - Watch for changes
Temperature,Normal,Subnormal,Maintenance,Regular,Maintenance,Routine,Standard care - Follow routine protocol
Heart Rate,Moderate,Weak,Regular,Maintenance,Routine care,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Moderate,Acute,Regular,Normal,Follow up,Monitor,Continue monitoring - Watch for changes
Mental Status,High,Acute,Urgent,Urgent,Rapid Response,Immediate,Red flag - Immediate intervention required
Temperature,Low,Hypothermia,Follow-up,Normal,Maintenance,Monitor,Continue monitoring - Watch for changes
